state,state_fips,year,income_pc_thousand,gdp_pc_thousand,unemployment_rate,population
Alabama,1,2015,38.397,42.47741249807891,6.083333333333333,4919092.0
Alabama,1,2016,38.983,43.077418732055946,5.8,4941401.0
Alabama,1,2017,40.456,43.63888845239693,4.508333333333334,4963818.0
Alabama,1,2018,41.938,44.261277055331206,3.9250000000000003,4988758.0
Alabama,1,2019,43.372,44.90458765813935,3.1916666666666664,5016699.0
Alabama,1,2020,45.729,44.24414739670817,6.408333333333334,5040791.0
Alabama,1,2021,50.151,46.22803166135987,3.391666666666667,5060806.0
Alabama,1,2022,52.917,47.09017469259408,2.5416666666666665,5093347.0
Alabama,1,2023,55.495,48.34963169271035,2.475,5135793.0
Alabama,1,2024,58.143,49.39106812323934,2.983333333333333,5175620.0
Alaska,2,2015,56.642,72.45918854930714,6.283333333333334,740846.0
Alaska,2,2016,55.928,71.95127695452705,6.625,743057.0
Alaska,2,2017,57.341,72.31311660918624,6.608333333333333,740542.0
Alaska,2,2018,59.869,71.22541767891315,6.091666666666666,736810.0
Alaska,2,2019,60.82,71.32498127595834,5.6000000000000005,734350.0
Alaska,2,2020,61.538,69.3770265684055,8.283333333333333,733691.0
Alaska,2,2021,65.575,70.49559640848878,6.408333333333334,734287.0
Alaska,2,2022,70.658,68.80045876870729,4.366666666666666,734139.0
Alaska,2,2023,74.124,73.67585170681298,4.25,735435.0
Alaska,2,2024,77.872,75.91642716212219,4.541666666666667,736938.0
Arizona,4,2015,40.269,45.77741383249221,6.108333333333333,6740940.0
Arizona,4,2016,41.646,46.73520690186114,5.5,6825869.0
Arizona,4,2017,43.934,48.207656805607215,4.958333333333333,6909670.0
Arizona,4,2018,45.981,49.444270224540034,4.808333333333334,7005833.0
Arizona,4,2019,48.336,50.554284352533536,4.816666666666666,7112685.0
Arizona,4,2020,52.109,50.76164343500026,7.825,7221752.0
Arizona,4,2021,57.189,54.224967605144116,5.033333333333333,7311346.0
Arizona,4,2022,60.462,55.89759876025305,3.725,7402801.0
Arizona,4,2023,63.774,57.06976381073631,3.691666666666667,7493355.0
Arizona,4,2024,66.99,58.93306165060967,3.6999999999999997,7584337.0
Arkansas,5,2015,39.722,40.85190589565617,4.95,2974953.0
Arkansas,5,2016,40.58,41.212461658997626,3.975,2985381.0
Arkansas,5,2017,41.99,41.37483956230694,3.7416666666666667,2994153.0
Arkansas,5,2018,43.67,42.112713839878566,3.65,3000785.0
Arkansas,5,2019,44.263,42.27787416932219,3.4916666666666667,3009139.0
Arkansas,5,2020,47.24,42.51571877206158,6.158333333333334,3019956.0
Arkansas,5,2021,52.669,45.3468469670597,4.041666666666667,3035157.0
Arkansas,5,2022,54.966,45.36983719834581,3.1750000000000003,3056480.0
Arkansas,5,2023,56.895,46.08960084875925,3.158333333333333,3080261.0
Arkansas,5,2024,60.333,47.48592480665235,3.4916666666666667,3103865.0
California,6,2015,54.562,65.15552654726491,6.216666666666666,39075419.0
California,6,2016,56.653,66.73718676274045,5.516666666666667,39314089.0
California,6,2017,59.342,69.41534658138669,4.833333333333333,39480467.0
California,6,2018,62.167,72.07801749256396,4.258333333333334,39553950.0
California,6,2019,65.254,75.05544345182416,4.091666666666667,39565538.0
California,6,2020,71.422,74.38257785678562,10.166666666666666,39399745.0
California,6,2021,76.447,80.49094350843538,7.3500000000000005,39148659.0
California,6,2022,78.822,80.37725994780554,4.283333333333333,39155495.0
California,6,2023,82.501,81.60985361090934,4.716666666666667,39260166.0
California,6,2024,88.438,83.9892723039763,5.291666666666667,39373226.0
Colorado,8,2015,51.393,60.36385664816568,3.6999999999999997,5475563.0
Colorado,8,2016,52.031,60.76782076000356,3.1166666666666667,5556974.0
Colorado,8,2017,55.465,62.20115316023201,2.6166666666666667,5630267.0
Colorado,8,2018,59.236,64.0643224535842,3.025,5700591.0
Colorado,8,2019,61.711,66.64739920535617,2.6666666666666665,5757548.0
Colorado,8,2020,65.079,65.62807515192738,6.791666666666667,5798494.0
Colorado,8,2021,73.09,69.69960886418971,5.508333333333333,5829433.0
Colorado,8,2022,77.571,71.91089419770829,3.0666666666666664,5876385.0
Colorado,8,2023,81.069,74.08914861429078,3.283333333333333,5941831.0
Colorado,8,2024,83.792,74.82033324865091,4.125,5998884.0
Connecticut,9,2015,66.96,74.4504612072021,5.608333333333333,3611392.0
Connecticut,9,2016,67.754,74.31493241457126,4.875,3608914.0
Connecticut,9,2017,70.26,75.861055558941,4.408333333333333,3610220.0
Connecticut,9,2018,73.045,76.04168541749804,3.9,3610951.0
Connecticut,9,2019,74.641,76.26078448812595,3.5833333333333335,3609003.0
Connecticut,9,2020,77.102,72.88250232511514,8.008333333333333,3591220.0
Connecticut,9,2021,82.488,74.95974903774179,6.441666666666666,3612336.0
Connecticut,9,2022,87.416,76.99859067153,4.0,3627969.0
Connecticut,9,2023,91.637,77.49890344066526,3.1999999999999997,3654613.0
Connecticut,9,2024,96.363,77.74441830264237,3.3083333333333336,3680780.0
Delaware,10,2015,47.573,80.37477404508341,4.808333333333334,948198.0
Delaware,10,2016,48.846,75.19666356576182,4.533333333333333,956710.0
Delaware,10,2017,50.673,72.03467328096438,4.3999999999999995,965585.0
Delaware,10,2018,53.504,72.6461095549969,3.6916666666666664,975364.0
Delaware,10,2019,53.801,75.6788275571132,3.5500000000000003,986112.0
Delaware,10,2020,54.842,72.934109518294,7.5249999999999995,997185.0
Delaware,10,2021,59.586,74.38856478156882,5.483333333333333,1010982.0
Delaware,10,2022,65.606,79.04000343009047,4.208333333333333,1026212.0
Delaware,10,2023,65.266,78.84500868255651,3.891666666666666,1041168.0
Delaware,10,2024,69.296,80.96541322000455,3.9166666666666665,1054160.0
District of Columbia,11,2015,75.095,193.16018611331367,6.883333333333333,668410.0
District of Columbia,11,2016,78.293,195.49245045332762,6.233333333333333,676332.0
District of Columbia,11,2017,80.599,196.73040808374375,6.108333333333333,682654.0
District of Columbia,11,2018,83.549,201.15074999817872,5.716666666666666,686335.0
District of Columbia,11,2019,84.046,201.70866822039744,5.516666666666667,688665.0
District of Columbia,11,2020,91.366,205.5313317367484,7.966666666666666,670598.0
District of Columbia,11,2021,97.145,213.46904492064462,6.8500000000000005,671473.0
District of Columbia,11,2022,103.156,211.12514832547183,4.7,677564.0
District of Columbia,11,2023,108.606,208.7501166371186,4.858333333333333,685888.0
District of Columbia,11,2024,114.862,209.57721414033733,5.308333333333334,692289.0
Florida,12,2015,45.277,46.60612244465588,5.5,20296239.0
Florida,12,2016,46.389,47.36564187917686,4.908333333333334,20668773.0
Florida,12,2017,49.399,48.38077623049165,4.283333333333333,20976656.0
Florida,12,2018,52.049,49.49298415705356,3.641666666666667,21223893.0
